ID	Type	Cluster representative	Virus Species	Host Species
SRR17283405_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283406_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283407_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283408_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283409_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283410_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283411_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283412_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283413_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283414_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283415_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283416_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283417_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283418_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283419_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283420_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283421_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17283422_pg_nr1	Patched	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17509745_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17509746_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
SRR17972912_complete_1	Complete	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
WHE26817.1 Lymantria dispar iflavirus 1	NCBI	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
WHE26818.1 Lymantria dispar iflavirus 1	NCBI	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
WHE26819.1 Lymantria dispar iflavirus 1	NCBI	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
WHE26820.1 Lymantria dispar iflavirus 1	NCBI	QJB76116.1 Lymantria dispar iflavirus 1	Iflavirus lineacelli	Lymantria dispar
QQL13637.1 Antheraea mylitta iflavirus	NCBI	QQL13637.1 Antheraea mylitta iflavirus	Iflaviridae	Antheraea mylitta
SRR10023505_pg_nr1	Patched	SRR10023505_pg_nr1	Novel	Spodoptera litura
SRR10023507_pg_nr1	Patched	SRR10023507_pg_nr1	Novel	Spodoptera litura
SRR10035779_pg_nr1	Patched	SRR10035779_pg_nr1	Novel	Bombyx mori
SRR10035818_pg_nr1	Patched	SRR10035818_pg_nr1	Novel	Bombyx mori
SRR1032037_pg_nr1	Patched	SRR1032037_pg_nr1	Novel	Ostrinia furnacalis
SRR10403172_pg_nr1	Patched	SRR10403172_pg_nr1	Novel	Spodoptera exigua
SRR10481893_pg_nr1	Patched	SRR10481893_pg_nr1	Novel	Dendrolimus punctatus
SRR10481913_pg_nr1	Patched	SRR10481913_pg_nr1	Novel	Dendrolimus punctatus
SRR10481914_pg_nr1	Patched	SRR10481914_pg_nr1	Novel	Dendrolimus punctatus
SRR1166413_pg_nr1	Patched	SRR1166413_pg_nr1	Novel	Junonia coenia
SRR11822938_pg_nr1	Patched	SRR11822938_pg_nr1	Novel	Spodoptera exigua
SRR12107981_pg_nr1	Patched	SRR12107981_pg_nr1	Novel	Busseola fusca
SRR13051669_pg_nr1	Patched	SRR13051669_pg_nr1	Novel	Glyphodes pyloalis
SRR13173089_pg_nr1	Patched	SRR13173089_pg_nr1	Novel	Streltzoviella insularis
SRR13173115_pg_nr1	Patched	SRR13173115_pg_nr1	Novel	Streltzoviella insularis
SRR13836888_pg_nr1	Patched	SRR13836888_pg_nr1	Novel	Bombyx mori
SRR14619865_pg_nr1	Patched	SRR14619865_pg_nr1	Novel	Dryas iulia
SRR14996484_pg_nr1	Patched	SRR14996484_pg_nr1	Novel	Spodoptera litura
SRR15163058_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15163065_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15163066_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15163067_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15163068_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15163069_pg_nr1	Patched	SRR15163058_pg_nr1	Novel	Bombyx mori
SRR15211895_pg_nr1	Patched	SRR15211895_pg_nr1	Novel	Bombyx mori
SRR15311593_pg_nr1	Patched	SRR15311593_pg_nr1	Novel	Dioryctria abietella
SRR15421478_pg_nr1	Patched	SRR15421478_pg_nr1	Novel	Ostrinia furnacalis
SRR15421482_pg_nr1	Patched	SRR15421482_pg_nr1	Novel	Ostrinia furnacalis
SRR16113126_pg_nr1	Patched	SRR16113126_pg_nr1	Novel	Spodoptera exigua
SRR1613323_pg_nr2	Patched	SRR1613323_pg_nr2	Novel	Scirpophaga incertulas
SRR1686380_pg_nr1	Patched	SRR1686380_pg_nr1	Novel	Thaumetopoea pityocampa
SRR17120994_pg_nr1	Patched	SRR17120994_pg_nr1	Novel	Plutella xylostella
SRR17712278_pg_nr1	Patched	SRR17712278_pg_nr1	Novel	Plutella xylostella
SRR18183487_pg_nr1	Patched	SRR18183487_pg_nr1	Novel	Ostrinia furnacalis
SRR2076771_pg_nr1	Patched	SRR2076771_pg_nr1	Novel	Heliconius melpomene
SRR346106_pg_nr1	Patched	SRR346106_pg_nr1	Novel	Bombyx mori
SRR5248240_pg_nr1	Patched	SRR5248240_pg_nr1	Novel	Spodoptera litura
SRR5248277_pg_nr1	Patched	SRR5248277_pg_nr1	Novel	Spodoptera litura
SRR5464074_pg_nr1	Patched	SRR5464074_pg_nr1	Novel	Spodoptera littoralis
SRR5590475_pg_nr1	Patched	SRR5590475_pg_nr1	Novel	Galleria mellonella
SRR5947570_pg_nr1	Patched	SRR5947570_pg_nr1	Novel	Ectropis obliqua
SRR6031689_pg_nr1	Patched	SRR6031689_pg_nr1	Novel	Bombyx mandarina
SRR6060273_pg_nr1	Patched	SRR6060273_pg_nr1	Novel	Spodoptera frugiperda
SRR6060275_pg_nr1	Patched	SRR6060275_pg_nr1	Novel	Spodoptera frugiperda
SRR6060276_pg_nr1	Patched	SRR6060276_pg_nr1	Novel	Spodoptera frugiperda
SRR6060347_pg_nr1	Patched	SRR6060347_pg_nr1	Novel	Spodoptera frugiperda
SRR8361862_pg_nr1	Patched	SRR8361862_pg_nr1	Novel	Spodoptera litura
SRR8755468_pg_nr1	Patched	SRR8755468_pg_nr1	Novel	Pectinophora gossypiella
SRR8755469_pg_nr1	Patched	SRR8755468_pg_nr1	Novel	Pectinophora gossypiella
SRR9313761_pg_nr1	Patched	SRR9313761_pg_nr1	Novel	Bombyx mori
SRR9313765_pg_nr1	Patched	SRR9313761_pg_nr1	Novel	Bombyx mori
SRR9620117_pg_nr1	Patched	SRR9620117_pg_nr1	Novel	Heliconius melpomene
SRR11669702_complete_1	Complete	UHR49801.1 Sanya iflavirus 2	Iflavirus	Sesamia inferens
SRR11669711_complete_1	Complete	UHR49801.1 Sanya iflavirus 2	Iflavirus	Scirpophaga incertulas
UHR49801.1 Sanya iflavirus 2	NCBI	UHR49801.1 Sanya iflavirus 2	Iflavirus	Sesamia inferens
UHR49836.1 Sanya iflavirus 2	NCBI	UHR49801.1 Sanya iflavirus 2	Iflavirus	Scirpophaga incertulas
SRR5481197_complete_1	Complete	WUR1 SRR1982875_complete_1	Iflavirus pernudae	Spodoptera frugiperda
SRR5481198_pg_nr1	Patched	WUR1 SRR1982875_complete_1	Iflavirus pernudae	Spodoptera frugiperda
SRR5481199_complete_1	Complete	WUR1 SRR1982875_complete_1	Iflavirus pernudae	Spodoptera frugiperda
WUR1 SRR1982875_complete_1	Complete	WUR1 SRR1982875_complete_1	Iflavirus pernudae	Spodoptera litura
SRR3623302_complete_1	Complete	WUR10 SRR3623301_complete_1	Iflavirus	Plutella xylostella
SRR3623303_complete_1	Complete	WUR10 SRR3623301_complete_1	Iflavirus	Plutella xylostella
SRR3623304_complete_1	Complete	WUR10 SRR3623301_complete_1	Iflavirus	Plutella xylostella
WUR10 SRR3623301_complete_1	Complete	WUR10 SRR3623301_complete_1	Iflavirus	Plutella xylostella
DRR191279_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
DRR191280_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
DRR191281_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
DRR191282_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
DRR191283_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR10803126_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR10803127_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR11192650_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR11192651_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR11192652_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674268_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674270_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674271_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674275_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674276_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR12674277_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120981_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120982_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120983_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120984_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120985_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120986_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120987_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120988_pg_nr1	Patched	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120992_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120993_pg_nr1	Patched	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17120995_pg_nr3	Patched	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712263_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712265_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712266_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712267_pg_nr1	Patched	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712269_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712272_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712273_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR17712279_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR3972213_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR3972299_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR3972322_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171274_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171275_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171277_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171278_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171279_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171453_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171455_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171456_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR5171457_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678034_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678035_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678036_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678037_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678038_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678039_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678040_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678041_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678042_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678043_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678044_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678045_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678046_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678047_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678048_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678049_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678050_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
SRR9678051_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
WUR11 DRR191278_complete_1	Complete	WUR11 DRR191278_complete_1	Iflavirus	Plutella xylostella
WUR12 SRR3233695_complete_1	Complete	WUR12 SRR3233695_complete_1	Iflavirus	Plutella xylostella
SRR179509_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR179510_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR179511_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR179587_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186655_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186656_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186657_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186658_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186659_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR2186660_pg_nr1	Patched	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR3233657_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR3236136_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR3236137_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
WUR13 SRR179508_complete_1	Complete	WUR13 SRR179508_complete_1	Iflavirus	Plutella xylostella
SRR14376537_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376538_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376539_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376540_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376541_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376542_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376543_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR14376544_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
WUR14 SRR14376536_complete_1	Complete	WUR14 SRR14376536_complete_1	Iflaviridae	Diatraea saccharalis
SRR10081739_complete_1	Complete	WUR15 SRR10081740_complete_1	Iflaviridae	Diatraea saccharalis
WUR15 SRR10081740_complete_1	Complete	WUR15 SRR10081740_complete_1	Iflaviridae	Diatraea saccharalis
SRR1050532_pg_nr2	Patched	WUR16 SRR1050533_complete_2	Iflavirus	Spodoptera exigua
SRR1050534_complete_2	Complete	WUR16 SRR1050533_complete_2	Iflavirus	Spodoptera exigua
WUR16 SRR1050533_complete_2	Complete	WUR16 SRR1050533_complete_2	Iflavirus	Spodoptera exigua
SRR5556556_complete_1	Complete	WUR17 SRR5556550_complete_1	Iflavirus	Helicoverpa armigera
SRR5556557_complete_1	Complete	WUR17 SRR5556550_complete_1	Iflavirus	Helicoverpa armigera
WUR17 SRR5556550_complete_1	Complete	WUR17 SRR5556550_complete_1	Iflavirus	Helicoverpa armigera
SRR21166236_complete_1	Complete	WUR18 SRR21166235_complete_1	Iflavirus	Heliconius charithonia
SRR21166238_pg_nr1	Patched	WUR18 SRR21166235_complete_1	Iflavirus	Heliconius charithonia
SRR21166243_complete_1	Complete	WUR18 SRR21166235_complete_1	Iflavirus	Heliconius charithonia
SRR21166250_complete_1	Complete	WUR18 SRR21166235_complete_1	Iflavirus	Heliconius charithonia
WUR18 SRR21166235_complete_1	Complete	WUR18 SRR21166235_complete_1	Iflavirus	Heliconius charithonia
SRR5616819_complete_1	Complete	WUR19 SRR5616818_complete_1	Iflavirus	Heliconius melpomene
SRR5616874_complete_1	Complete	WUR19 SRR5616818_complete_1	Iflavirus	Heliconius melpomene
SRR5616883_complete_1	Complete	WUR19 SRR5616818_complete_1	Iflavirus	Heliconius melpomene
WUR19 SRR5616818_complete_1	Complete	WUR19 SRR5616818_complete_1	Iflavirus	Heliconius melpomene
SRR11746835_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11746836_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11746837_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794144_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794145_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794146_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794147_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794148_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794149_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794151_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794152_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794153_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794154_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR11794156_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR5295645_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR5295646_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997043_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997044_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997045_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997046_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997047_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR6997048_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR8493701_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR8493702_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR8493704_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
